"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1147",9.1,0.27,0.32,1.1,0.031,15,151,0.9936,3.03,0.41,10.6,5
"4825",6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5
"121",5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5
"3949",5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,5
"2101",6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5
"1240",10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5
"1511",8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,5
"1056",8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,5
"2283",7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
"817",8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5
"803",6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5
"847",6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5
"3041",6.3,0.2,0.37,11.8,0.045,58,130,0.99519,3.2,0.35,10.8,5
"3611",6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5
"521",7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
"3209",6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8,5
"1875",7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,5
"1768",7.4,0.32,0.22,1.7,0.051,50,179,0.9955,3.28,0.69,8.9,5
"1252",5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5
"4550",6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
"3281",6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5
"1758",6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5
"3877",6.1,0.22,0.28,16.55,0.059,54,135,0.99665,3.2,0.38,10.5,5
"2095",6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5
"3719",6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5
"2849",6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,5
"3408",6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
"3441",6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,5
"3799",7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5
"12",8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5
"2795",6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
"3037",6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4,5
"3992",6.9,0.2,0.41,1.1,0.06,36,104,0.99317,2.99,0.39,9.2,5
"997",6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5
"1040",7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5
"2830",7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,5
"1737",6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,5
"3011",6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5,5
"1795",6.6,0.37,0.24,2,0.064,23,120,0.9946,3.32,0.54,9.4,5
"2684",7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5
"2064",7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5
"418",6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5
"163",6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5
"1605",6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,5
"315",5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
"3075",6.6,0.25,0.33,8.5,0.042,29,141,0.99546,3.28,0.6,10.4,5
"198",6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5
"4294",7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5
"2409",7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5
"2710",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
"2733",7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10,5
"2756",6.6,0.34,0.18,6.4,0.082,47,240,0.9971,3.42,0.48,9.2,5
"2666",8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5
"92",6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5
"2217",7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,5
"4506",6.4,0.28,0.23,6,0.051,50,162,0.994,3.15,0.52,10.2,5
"2204",7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5
"2717",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
"1441",7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,5
"1187",7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,5
"1681",7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5
"2123",6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,5
"2510",8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9,5
"332",6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5
"2253",7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,5
"4745",5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10,5
"1283",7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,5
"3942",4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
"4440",7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5
"1015",6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5
"1118",8.1,0.45,0.34,8.3,0.037,33,216,0.9976,3.31,0.64,9.7,5
"1051",7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,5
"70",7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
"774",6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4,5
"937",6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5
"1314",9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,5
"3901",7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5
"3805",8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5
"4895",6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6,5
"3821",6.3,0.3,0.2,3.7,0.039,34,132,0.99158,3,0.38,10.7,5
"1002",6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5
"4811",5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,5
"4680",4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,5
"2074",6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5
"2076",7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5
"2553",6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5
"431",6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
"2406",6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,5
"2937",5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,5
"735",6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
"2038",7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5
"11",8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5
"1562",9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
"3120",5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,5
"4397",7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
"993",6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9,5
"3808",6.8,0.21,0.62,6.4,0.041,7,113,0.99358,2.96,0.59,10.2,5
"3669",6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,5
"284",6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5
"123",7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5
"755",5.9,0.35,0.47,2.2,0.11,14,138,0.9932,3.09,0.5,9.1,5
"1203",6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5
"2655",6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4,5
"4097",8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5,5
"2060",5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5
"3649",7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1,5
"241",7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5
"3057",6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4,5
"3048",7.7,0.18,0.53,1.2,0.041,42,167,0.9908,3.11,0.44,11.9,5
"1520",8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
"113",7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
"3768",6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
"2525",7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5
"947",8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5
"4444",7.2,0.47,0.16,5.9,0.048,14,125,0.99428,3.09,0.49,9.8,5
"410",8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5
"399",5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5
"4016",6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,5
"3080",6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,5
"4396",6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,5
"432",6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
"646",6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5
"2077",6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
"3509",6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5
"714",6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,5
"1044",7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,5
"3817",6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5
"2098",6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5
"4741",6,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6,5
"532",6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,5
"2499",6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
"3275",6.1,0.22,0.31,1.4,0.039,40,129,0.99193,3.45,0.59,10.9,5
"199",7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
"4543",6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
"1973",7.6,0.2,0.26,4.5,0.086,37,133,0.9963,3.15,0.42,9.2,5
"4002",6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5,5
"2359",7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5
"644",6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,5
"2816",6.6,0.36,0.24,0.9,0.038,15,72,0.99066,3.23,0.39,11,5
"2339",7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
"3538",6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,5
"2073",6.6,0.23,0.27,5.6,0.043,43,164,0.9953,3.27,0.76,9.5,5
"597",6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
"2439",6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5
"2116",6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
"2105",6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
"1216",8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5
"79",7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5
"2965",5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,5
"4670",5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,5
"4467",6.2,0.32,0.24,4.1,0.051,34,149,0.99306,3.36,0.52,11,5
"2446",6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5
"2048",6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5
"858",8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5
"3687",7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5
"3503",6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5
"4452",6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,5
"2851",6.7,0.24,0.29,14.9,0.053,55,136,0.99839,3.03,0.52,9,5
"3255",7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,5
"263",6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,5
"285",7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8,5
"2082",7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5
"3078",6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5
"738",6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
"3195",5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11,5
"686",6.2,0.36,0.26,13.2,0.051,54,201,0.9976,3.25,0.46,9,5
"1473",7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,5
"819",6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5
"1436",6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,5
"218",5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5
"2956",7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,5
"4329",6.4,0.42,0.19,9.3,0.043,28,145,0.99433,3.23,0.53,10.98,5
"466",6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5
"2325",6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5
"373",6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10,5
"3162",6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
"3279",6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5
"1455",8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5
"2520",6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,5
"4799",5.9,0.32,0.19,14.5,0.042,37,115,0.99684,3.16,0.43,10.3,5
"1917",6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5
"3028",7.4,0.32,0.22,11.7,0.035,44,150,0.99578,3.1,0.45,10.4,5
"1766",6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5
"2498",6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
"4731",7.9,0.3,0.6,1.85,0.048,13,106,0.99331,3.24,0.49,11.85,5
"1078",7.8,0.26,0.44,1.3,0.037,43,132,0.9944,3.18,0.65,10,5
"2521",7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5
"2881",7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7,5
"1456",6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,5
"2257",7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5
"3098",6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,5
"2013",6.8,0.18,0.46,1.4,0.064,37,160,0.9924,3.37,0.45,11.1,5
"3343",6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,5
"912",6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5
"517",6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5
"3892",7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5
"162",6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,5
"4357",6.2,0.29,0.29,5.6,0.046,35,178,0.99313,3.25,0.51,10.5333333333333,5
"2259",7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5
"293",7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5
"1435",7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5
"3836",6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5
"1342",7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5
"1245",6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5
"3396",6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1,5
"3951",4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
"4028",6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,5
"2364",6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5
"114",6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
"2461",6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5
"1079",6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,5
"499",5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5
"72",6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5
"1911",6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5
"1574",7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5
"4589",6.4,0.3,0.33,5.2,0.05,30,137,0.99304,3.26,0.58,11.1,5
"2711",7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
"718",7,0.27,0.41,18.75,0.042,34,157,1.0002,2.96,0.5,9.1,5
"666",7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,5
"871",6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5
"595",6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
"1066",8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
"2025",8,0.43,0.4,12.4,0.168,29,190,0.9991,3.07,0.64,9.2,5
"4829",6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,5
"2594",6.3,0.21,0.29,11.7,0.048,49,147,0.99482,3.22,0.38,10.8,5
"3874",7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,5
"1710",6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5
"710",6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,5
"4889",6.8,0.22,0.36,1.2,0.052,38,127,0.9933,3.04,0.54,9.2,5
"325",8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
"1432",6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
"1180",7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5
"2575",6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,5
"4853",6.2,0.23,0.38,1.6,0.044,12,113,0.99176,3.3,0.73,11.4,5
"4256",6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5
"4368",7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5
"2444",6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5
"3775",6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7,5
"4099",6.6,0.21,0.34,5.6,0.046,30,140,0.99299,3.22,0.38,11,5
"1792",6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,5
"1255",7,0.16,0.73,1,0.138,58,150,0.9936,3.08,0.3,9.2,5
"1308",9.7,0.14,0.59,1.5,0.049,23,142,0.9958,2.98,0.62,9.5,5
"2732",7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,5
"4557",6.1,0.2,0.4,1.9,0.028,32,138,0.9914,3.26,0.72,11.7,5
"1944",6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,5
"2832",6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4,5
"4364",7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5
"80",6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5
"2192",9.2,0.23,0.35,10.7,0.037,34,145,0.9981,3.09,0.32,9.7,5
"3981",6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7,5
"1767",6.6,0.32,0.26,7.7,0.054,56,209,0.9961,3.17,0.45,8.8,5
"935",6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9,5
"1928",7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5
"48",6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5
"1174",7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5
"4257",6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5
"2425",6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
"3753",6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5
"307",7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,5
"2173",6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5
"3320",5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5
"522",7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
"484",6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5
"4615",7.1,0.33,0.18,6.3,0.094,27,166,0.99474,2.9,0.49,9.5,5
"3144",5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
"2798",6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
"209",6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5
"4549",6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5
"2100",6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
"721",6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5
"4062",6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5
"504",6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5
"3061",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
"2327",6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
"1641",7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5
"582",5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5
"4614",5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8,5
"1715",6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5
"684",6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5
"1072",8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
"4650",5.7,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5
"1238",7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,5
"2481",6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5
"2287",6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4,5
"4686",7.2,0.26,0.32,10.4,0.062,23,114,0.9966,3.23,0.49,10.5,5
"4391",6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,5
"4814",5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7,5
"3375",5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5
"131",5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5
"2055",8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
"4468",6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3,5
"3626",7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,5
"3918",6.2,0.28,0.51,7.9,0.056,49,206,0.9956,3.18,0.52,9.4,5
"4321",6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,5
"3205",6.8,0.28,0.34,7.5,0.035,34,177,0.99692,3.33,0.43,9.1,5
"226",7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5
"50",6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5
"3468",6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,5
"3770",6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
"4693",6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8,5
"903",6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,5
